module_id,clip_id,question_order,question_text,Answer
why-have-a-system,clip-07,14,Why does Sandler emphasise finding the prospect’s pain?,"CA: Because people buy to feel good or relieve pain, and it’s easier to sell to someone in pain.
 IA: Because pain allows skipping the budget step.
 IA: Because prospects seldom buy unless pressured.
 IA: Because pain replaces the need to define decision criteria."
why-have-a-system,clip-08,15,Why is it important for salespeople to have a selling process?,"CA: Without one, salespeople default to the prospect’s buying system and lose advantage.
 IA: Because a process guarantees 90% close rates.
 IA: Because a process removes the need for discovery.
 IA: Because it replaces qualification with demos."
why-have-a-system,clip-08,16,What does the budget step involve?,"CA: Discussing all money issues and ensuring willingness and ability to spend to fix pain.
 IA: Establishing maximum discount levels.
 IA: Presenting pricing before understanding pain.
 IA: Focusing on competitor pricing to justify cost."
why-have-a-system,clip-09,17,What is 'Wimp Junction'?,"CA: A moment where the salesperson chooses their system or the prospect’s—losing control if wrong.
 IA: A stage where incentives are offered.
 IA: A phase for collecting objections.
 IA: A point where price is intentionally delayed."
why-have-a-system,clip-09,18,How can a salesperson avoid ending up at Wimp Junction?,"CA: By following their own system and maintaining control.
 IA: By letting the prospect structure the call.
 IA: By offering early discounts.
 IA: By skipping qualification to move faster."
why-have-a-system,clip-10,19,What should you not be afraid to do when using a selling system?,"CA: Don’t be afraid to abort.
 IA: Don’t be afraid to close too early.
 IA: Don’t be afraid to offer discounts.
 IA: Don’t be afraid to skip qualification."

why-have-a-system,clip-10,20,What should you stop selling according to the Sandler rules?,"CA: Stop selling features and benefits.
 IA: Stop selling pain and impact.
 IA: Stop selling budget and decision criteria.
 IA: Stop selling timelines and implementation plans."
bonding-rapport,clip-11,21,What should you stop selling according to the Sandler rules?,"CA: Stop selling features and benefits.
IA: Stop selling pain and impact.
IA: Stop selling budget and decision criteria.
IA: Stop selling timelines and implementation plans."

bonding-rapport,clip-11,22,What does the concept of bonding in sales mean?,"CA: Bonding means connecting with prospects and making them feel understood.
IA: Bonding means presenting your solution enthusiastically.
IA: Bonding means mirroring buying habits.
IA: Bonding means building goodwill through discounts."

bonding-rapport,clip-12,23,What advice is given about learning to understand people for better sales?,"CA: Spend time studying psychology and self-help materials.
IA: Learn as many closing techniques as possible.
IA: Memorise standard sales scripts.
IA: Study product brochures thoroughly."

bonding-rapport,clip-12,24,Why is establishing rapport important for a sales professional?,"CA: It makes the prospect comfortable and builds trust and influence.
IA: It shortens the sales cycle by helping you pitch faster.
IA: It prevents prospects from asking difficult questions.
IA: It helps you switch the prospect to another product more easily."

bonding-rapport,clip-13,25,What is one way suggested by a Sandler trainer to build rapport with a prospect?,"CA: Find something you have in common.
IA: Start with a scripted compliment.
IA: Tell a story about another client.
IA: Begin with a joke to break the ice."

bonding-rapport,clip-13,26,What are the three components of active participation?,"CA: Elements of communication, active listening, and primary sensory dominance.
IA: Taking notes, nodding, and smiling.
IA: Repeating back every word they say.
IA: Using hand gestures to show engagement."

bonding-rapport,clip-14,27,What role does tonality play in communication?,"CA: Tonality accounts for 38% of communication and carries more meaning than words.
IA: Tonality mainly helps you sound enthusiastic.
IA: Tonality is only important during the close.
IA: Tonality matters mostly when reading scripts."

bonding-rapport,clip-14,28,What are the three primary sensory modes described?,"CA: Visual, auditory, and kinesthetic.
IA: Logical, emotional, and behavioural.
IA: Introverted, extroverted, and analytical.
IA: Direct, indirect, and neutral."

bonding-rapport,clip-15,29,How can you identify an auditory person’s communication style?,"CA: They speak slower, choose words carefully, and use sound-related phrases.
IA: They prefer written information instead of speaking.
IA: They avoid dialogue and rely on body language.
IA: They rush through explanations without detail."

bonding-rapport,clip-15,30,Can you name some common words or phrases that visuals use to convey their experience?,"CA: Words like appears, focus, look, vision.
IA: Words like “I feel” or “it feels like”.
IA: Logic-based words like “I think therefore”.
IA: Sound-based metaphors like “rings a bell”."

bonding-rapport,clip-16,31,What example illustrates how a bad visual impression can distract a prospect?,"CA: Tom’s uncomfortable appearance distracts the prospect from the message.
IA: A salesperson using too many statistics confuses the prospect.
IA: A salesperson sitting too far back loses attention.
IA: A salesperson telling long stories bores the prospect."

bonding-rapport,clip-16,32,How do auditories typically communicate and process information?,"CA: They respond aloud and have an internal dialogue while talking.
IA: They process information best through visuals.
IA: They avoid speaking and rely on email.
IA: They prefer to make decisions silently."

bonding-rapport,clip-17,33,How do auditories signal that they are ready to be sold to?,"CA: They go quiet and ask to be sold.
IA: They fidget and look away.
IA: They ask to end the meeting early.
IA: They start talking over the salesperson."

bonding-rapport,clip-17,34,What are some communication traits of kinesthetics?,"CA: They speak slowly, need eye contact, and observe surroundings.
IA: They dislike eye contact and physical interaction.
IA: They prefer fast, data-heavy conversations.
IA: They rely mainly on written summaries."

bonding-rapport,clip-18,35,What is important when communicating with kinesthetic prospects in sales?,"CA: Show belief in your product and let them physically interact with it.
IA: Focus mostly on technical data.
IA: Keep communication brief and emotion-free.
IA: Push for quick decisions to avoid overthinking."

bonding-rapport,clip-18,36,How does the story about watching Tarzan as a child relate to the concept of feeling okay or not okay?,"CA: People feel okay by finding someone more not-okay than they are.
IA: It shows people enjoy action scenes.
IA: It shows confidence comes from praise.
IA: It demonstrates how stories build rapport."

bonding-rapport,clip-19,37,How can using industry buzzwords negatively affect a sales interaction?,"CA: They make prospects feel not-okay or inferior.
IA: They help prospects feel like experts.
IA: They make you sound more impressive.
IA: They accelerate trust."

bonding-rapport,clip-19,38,What is a stroke in the context of sales according to David Sandler?,"CA: A stroke is a form of recognition that makes prospects feel comfortable.
IA: A stroke is a scripted compliment used to close.
IA: A stroke is a technique to distract the prospect.
IA: A stroke is a tool to persuade someone quickly."

bonding-rapport,clip-20,39,Why should a salesperson avoid overusing strokes?,"CA: Overusing strokes seems insincere.
IA: It accelerates buying pressure.
IA: It reduces your authority.
IA: It slows down the presentation."

bonding-rapport,clip-20,40,What is recommended regarding the prospect and the product?,"CA: Let your prospect touch your product.
IA: Keep the product away until the end.
IA: Only describe the product verbally.
IA: Use slides instead of physical interaction."

upfront-contracts,clip-21,41,Why is it important to discuss the rules of the sales interview with your prospect?,"CA: Because without rules, you lose control of the sales process and create confusion.
IA: Because rules allow you to present more product features.
IA: Because prospects expect long presentations without structure.
IA: Because rules ensure the salesperson talks most of the time."

upfront-contracts,clip-21,42,When should you use the strategy of upfront contracting in sales?,"CA: An upfront contract creates a mutual agreement on expectations and reduces stress.
IA: An upfront contract is a script for closing techniques.
IA: An upfront contract is a way to pressure prospects into faster decisions.
IA: An upfront contract is simply confirming the meeting time."

upfront-contracts,clip-22,43,Why is it important not to get defensive during a sales appointment?,"CA: Because defensiveness harms the relationship, and proper upfront contracts prevent that.
IA: Because defensiveness helps the salesperson identify weak prospects.
IA: Because pressure is required to get faster closes.
IA: Because the prospect must feel challenged to respect the salesperson."

upfront-contracts,clip-22,44,What does it indicate if a prospect asks you to 'send some literature' during a call?,"CA: It often indicates the prospect isn’t interested and wants to end the call politely.
IA: It means the prospect wants more product details.
IA: It suggests the prospect is ready for the close.
IA: It means the prospect wants the salesperson to talk more."

upfront-contracts,clip-23,45,What elements should a strong upfront contract include?,"CA: A strong upfront contract includes objectives, agendas, time, and a decision.
IA: It should focus mainly on product benefits and objections.
IA: It should only outline the salesperson’s agenda.
IA: It should delay decision-making to a future meeting."

upfront-contracts,clip-23,46,How can a salesperson assert their rights without being aggressive during a meeting?,"CA: Control is maintained using assertive but non-threatening language.
IA: Control comes from speaking louder than the prospect.
IA: Control requires dominating the conversation.
IA: Control comes from refusing to acknowledge objections."

upfront-contracts,clip-24,47,What is the purpose of using the ANOT acronym during sales calls?,"CA: ANOT helps ensure all elements of the upfront contract are included.
IA: ANOT is a tool for tracking competitor pricing.
IA: ANOT is a closing script for end-of-call objections.
IA: ANOT is a method for memorizing product features."

upfront-contracts,clip-24,48,What are the key elements included in an upfront contract as demonstrated in the ANOT example?,"CA: Key elements are time, objective, roles, and decision.
IA: Key elements are pricing, discounts, urgency, and closing steps.
IA: Key elements are scripts, objections, negotiation, and product demos.
IA: Key elements are rapport, chit-chat, and small talk."

upfront-contracts,clip-25,49,What are the four major requirements of a formal legal contract mentioned in the text?,"CA: The requirements are mutual agreement, consideration, competency, and lawful object.
IA: The requirements are enthusiasm, product knowledge, rapport, and persistence.
IA: The requirements are objection handling, negotiating, discounting, and presenting.
IA: The requirements are motivation, confidence, charisma, and authority."

upfront-contracts,clip-25,50,How do upfront contracts help salespeople according to the text?,"CA: Upfront contracts give salespeople courage to do what they must so both parties win.
IA: Upfront contracts guarantee the sale every time.
IA: Upfront contracts eliminate the need for questioning.
IA: Upfront contracts replace the need for rapport."

upfront-contracts,clip-26,51,According to David Sandler, what should a salesperson do when facing a negative behavior pattern?,"CA: They should identify the negative pattern and openly communicate it.
IA: They should ignore the pattern and hope it goes away.
IA: They should confront the prospect aggressively.
IA: They should avoid mentioning any uncomfortable behavior."

upfront-contracts,clip-26,52,What is the benefit of openly admitting to a problem like difficulty asking for the sale?,"CA: It invites the prospect to help overcome the problem, creating collaboration.
IA: It shifts responsibility entirely to the prospect.
IA: It allows the salesperson to avoid addressing issues.
IA: It increases pressure on the prospect to make a quick decision."

upfront-contracts,clip-27,53,What is a common issue salespeople face with prospects during the sales process?,"CA: Salespeople often encounter stalls, objections, perceptions, and misconceptions.
IA: Salespeople primarily encounter pricing complaints.
IA: Salespeople mostly face scheduling issues.
IA: Salespeople rarely face resistance if their product is strong."

upfront-contracts,clip-27,54,Why is it better to confront objections early rather than later?,"CA: Because it prevents emotional investment in low-probability prospects.
IA: Because emotional investment always closes sales faster.
IA: Because distancing yourself increases buyer urgency.
IA: Because disengaging guarantees a future referral."

upfront-contracts,clip-28,55,How do many professional salespeople replace the request for literature?,"CA: Professionals often replace literature requests with online demos.
IA: Professionals send long brochures instead of demos.
IA: Professionals avoid demos because they take too long.
IA: Professionals rely on automated emails instead of interaction."

upfront-contracts,clip-28,56,What is the purpose of using upfront contracts in this online demo process?,"CA: Upfront contracts set clear expectations before a demo.
IA: Upfront contracts are mainly used to negotiate pricing.
IA: Upfront contracts replace the need for discovery questions.
IA: Upfront contracts are only used after the demo."

upfront-contracts,clip-29,57,What is the purpose of a rough draft contract in sales proposals?,"CA: Rough drafts create an initial proposal to review before finalizing.
IA: Rough drafts are informal quotes sent to close faster.
IA: Rough drafts replace the need for conversation with the prospect.
IA: Rough drafts eliminate the need for discovery."

upfront-contracts,clip-29,58,What does the 'last look' contract involve?,"CA: The last-look contract aims to present last and get a commitment for final review.
IA: The last look contract guarantees the lowest price.
IA: It requires matching every competitor’s offer.
IA: It means refusing to present unless you are chosen."

upfront-contracts,clip-30,59,What is the main sales challenge discussed in the role play?,"CA: The challenge is repeatedly calling on a buyer who never orders and adjusting the approach.
IA: The challenge is convincing the buyer to switch suppliers immediately.
IA: The challenge is offering bigger discounts each time.
IA: The challenge is avoiding contact to preserve rapport."

upfront-contracts,clip-30,60,What tool does David Sandler suggest using to change the sales approach?,"CA: He suggests using a 3×5 card to track visits, dates, and responses.
IA: He suggests memorizing all interactions instead of tracking.
IA: He suggests using scripts exclusively to guide all follow-ups.
IA: He suggests limiting follow-up to one attempt only."

upfront-contracts,clip-31,61,What does establishing a contract in sales mean?,"CA: Establishing a contract means knowing what’s happening, but not guaranteeing every order.
IA: Establishing a contract guarantees all future business.
IA: Establishing a contract replaces the need for closing skills.
IA: Establishing a contract eliminates the need for discovery."

upfront-contracts,clip-31,62,What are the Sandler rules for upfront contracts?,"CA: Sandler rules include requiring decisions, controlling fears, fighting upfront, never moving without commitment, and setting expectations.
IA: Sandler rules focus mainly on objection handling.
IA: Sandler rules require giving discounts early.
IA: Sandler rules emphasize long presentations to build authority."

questioning-1,clip-32,63,Why is it critical not to share your information or expertise too soon in the selling process?,"CA: Sharing information too soon makes you an unpaid consultant and weakens your ability to close. IA: Sharing information early always builds immediate trust. IA: Giving expertise upfront increases the prospect’s urgency to buy. IA: The more information you give early the more control you gain in the sales process."
questioning-1,clip-32,64,What are the two simple rules to avoid giving up your information too soon?,"CA: The rules are: sell today and educate tomorrow and don’t spill your candy in the lobby. IA: The rules are: educate first then let the prospect decide later. IA: The rules are: always give free information to show value. IA: The rules are: explain all product features before asking questions."
questioning-1,clip-33,65,What is the dummy curve in sales according to David Sandler?,"CA: The dummy curve prevents early information dumping by moving through dummy amateur and professional phases. IA: The dummy curve is used to deliver advanced product demonstrations. IA: The dummy curve helps prospects close themselves without any questioning. IA: The dummy curve is a technique to negotiate pricing more effectively."
questioning-1,clip-33,66,What example phrases illustrate a salesperson in the dummy phase?,"CA: Dummy curve examples include saying you need to check or verify details to slow the process. IA: Dummy curve examples include confidently explaining every technical detail upfront. IA: Dummy curve examples involve interrupting the prospect to correct them. IA: Dummy curve examples involve giving firm pricing immediately."
questioning-1,clip-34,67,Why is it important for the prospect to do most of the talking during a sales interview?,"CA: It allows the prospect to paint their pain picture and see how your solution helps. IA: It allows the salesperson to avoid asking deeper questions. IA: It lets the salesperson push features more aggressively. IA: It ensures the salesperson does most of the talking."
questioning-1,clip-34,68,What is the reversing strategy in sales?,"CA: Reversing helps guide the prospect by asking questions that prompt them to talk more. IA: Reversing ensures the salesperson takes full control of the conversation. IA: Reversing is mainly used to transition into presenting features. IA: Reversing is a technique for closing without discovering pain."
questioning-1,clip-35,69,What is the purpose of using dummy curve phrases in a sales conversation?,"CA: Dummy curve phrases encourage the prospect to talk more and clarify concerns. IA: Dummy curve phrases are used to hide the salesperson’s lack of product knowledge. IA: Dummy curve phrases help pressure prospects into committing early. IA: Dummy curve phrases are designed to move quickly into the close."
questioning-1,clip-35,70,Why does the salesperson bring up the budget again by saying 'John we talked about whether or not you had a budget set aside for this didn't we?' ,"CA: They use the dummy curve to revisit budget and confirm exact dollar amounts. IA: They use the dummy curve to avoid talking about budget. IA: They use the dummy curve to pressure the prospect into raising their budget. IA: They use the dummy curve to skip straight to pricing."
questioning-1,clip-36,71,Why does the speaker say you need to act in sales?,"CA: Because if you don’t know how to act you can’t sell; you cannot be yourself on a sales call. IA: Because being completely natural always guarantees the sale. IA: Because prospects prefer you to act exactly like you would socially. IA: Because professional behavior makes prospects defensive."
questioning-1,clip-36,72,How does the speaker describe most prospects?,"CA: Most prospects wouldn’t spend five minutes with you socially and don’t care about you. IA: Most prospects want to build deep personal relationships with salespeople. IA: Most prospects value friendship more than solutions. IA: Most prospects care deeply about your personal background."
questioning-1,clip-37,73,What was the judge's ruling in the case involving Nancy's painting?,"CA: The teacher had no right to add something to Nancy’s picture that she didn’t see in her head. IA: The judge ruled that teachers should add details to help children learn creativity. IA: The judge ruled that Nancy should accept adult guidance on her drawings. IA: The judge ruled that all pictures must follow standard rules."
questioning-1,clip-37,74,What is the main lesson from the story about Nancy and the seagull in her painting?,"CA: You should never add elements to a prospect’s picture that they don’t see or want. IA: You should add as many features as possible to expand their expectations. IA: You should build excitement by introducing unexpected benefits. IA: You should always tell prospects what they should value."
questioning-1,clip-38,75,What is Sandler's Seagull Rule in the context of sales?,"CA: The Seagull Rule says avoid imposing features or benefits onto the prospect’s picture without consent. IA: The Seagull Rule recommends overwhelming prospects with features. IA: The Seagull Rule encourages early technical presentations. IA: The Seagull Rule suggests challenging the prospect’s beliefs directly."
questioning-1,clip-38,76,How does the 'dummy curve' concept help in sales interviews?,"CA: The dummy curve tests interest in a feature without pushing it. IA: The dummy curve ensures the prospect hears every detail immediately. IA: The dummy curve is used to close faster by creating urgency. IA: The dummy curve replaces the need to ask questions."
questioning-1,clip-39,77,What does David Sandler say about the importance of the dummy curve to sales professionals?,"CA: The dummy curve can save new salespeople 10 years of experience. IA: The dummy curve is mainly for entertainment during training. IA: The dummy curve is only for advanced negotiators. IA: The dummy curve is outdated and no longer useful."
questioning-1,clip-39,78,How can someone become a professional salesperson according to David Sandler?,"CA: You become a pro by doing what you did as a dummy but now on purpose. IA: You become a pro by presenting more features. IA: You become a pro by memorizing scripts only. IA: You become a pro by avoiding questions and leading with solutions."
questioning-1,clip-40,79,What does the rule 'Don't paint seagulls in your prospect's picture' mean?,"CA: Avoid adding unnecessary or distracting details that confuse your prospect. IA: Add as many details as possible to show expertise. IA: Use extra details to create urgency. IA: Distract the prospect early to keep control."
questioning-1,clip-40,80,What does 'Don't spill your candy in the lobby' imply in sales?,"CA: Don’t give away your valuable information before securing commitment. IA: Always provide full details early to impress the prospect. IA: Give away information quickly to shorten the sales cycle. IA: Lead with your entire proposal before asking any questions."
